date,temperature_max
2018-01-01,9.4
2018-01-02,5.1
2018-01-03,4.6
2018-01-04,7.2
2018-01-05,8.3
2018-01-06,8.9
2018-01-07,3.5
2018-01-08,-1.2
2018-01-09,1.7
2018-01-10,3.5
2018-01-11,2.5
2018-01-12,-0.6
2018-01-13,-0.9
2018-01-14,-2.7
2018-01-15,-4.3
2018-01-16,-0.9
2018-01-17,1.2
2018-01-18,2.2
2018-01-19,1.3
2018-01-20,0.6
2018-01-21,-1.5
2018-01-22,-2.2
2018-01-23,-3.4
2018-01-24,3.0
2018-01-25,5.6
2018-01-26,4.2
2018-01-27,3.7
2018-01-28,6.0
2018-01-29,9.6
2018-01-30,6.9
2018-01-31,5.4
2018-02-01,6.3
2018-02-02,4.8
2018-02-03,3.7
2018-02-04,0.2
2018-02-05,-1.5
2018-02-06,-0.4
2018-02-07,1.2
2018-02-08,1.4
2018-02-09,0.3
2018-02-10,0.1
2018-02-11,1.3
2018-02-12,3.5
2018-02-13,3.2
2018-02-14,1.6
2018-02-15,0.1
2018-02-16,2.8
2018-02-17,2.9
2018-02-18,2.3
2018-02-19,2.8
2018-02-20,3.2
2018-02-21,2.8
2018-02-22,-2.2
2018-02-23,-2.7
2018-02-24,-4.4
2018-02-25,-7.4
2018-02-26,-8.4
2018-02-27,-7.7
2018-02-28,-7.3
2018-03-01,-8.6
2018-03-02,-7.2
2018-03-03,-5.8
2018-03-04,-0.6
2018-03-05,4.4
2018-03-06,6.1
2018-03-07,7.1
2018-03-08,9.0
2018-03-09,8.2
2018-03-10,9.2
2018-03-11,14.4
2018-03-12,13.2
2018-03-13,12.6
2018-03-14,8.0
2018-03-15,2.5
2018-03-16,0.1
2018-03-17,-1.7
2018-03-18,-0.8
2018-03-19,0.6
2018-03-20,2.5
2018-03-21,2.2
2018-03-22,5.5
2018-03-23,4.0
2018-03-24,6.8
2018-03-25,10.4
2018-03-26,9.2
2018-03-27,4.6
2018-03-28,3.8
2018-03-29,5.8
2018-03-30,11.1
2018-03-31,12.5
2018-04-01,8.4
2018-04-02,6.4
2018-04-03,14.2
2018-04-04,20.0
2018-04-05,18.2
2018-04-06,11.1
2018-04-07,14.9
2018-04-08,21.9
2018-04-09,24.3
2018-04-10,23.1
2018-04-11,18.0
2018-04-12,21.1
2018-04-13,22.9
2018-04-14,20.5
2018-04-15,23.5
2018-04-16,22.9
2018-04-17,16.8
2018-04-18,19.2
2018-04-19,20.0
2018-04-20,20.8
2018-04-21,23.0
2018-04-22,18.8
2018-04-23,21.6
2018-04-24,19.4
2018-04-25,22.6
2018-04-26,16.9
2018-04-27,14.6
2018-04-28,23.4
2018-04-29,27.5
2018-04-30,28.6
2018-05-01,24.0
2018-05-02,20.7
2018-05-03,29.9
2018-05-04,21.8
2018-05-05,19.1
2018-05-06,20.4
2018-05-07,22.8
2018-05-08,25.6
2018-05-09,27.6
2018-05-10,28.0
2018-05-11,26.8
2018-05-12,24.5
2018-05-13,26.6
2018-05-14,20.5
2018-05-15,20.2
2018-05-16,20.4
2018-05-17,19.0
2018-05-18,19.0
2018-05-19,19.2
2018-05-20,20.6
2018-05-21,21.0
2018-05-22,21.1
2018-05-23,23.5
2018-05-24,23.5
2018-05-25,21.7
2018-05-26,22.6
2018-05-27,26.0
2018-05-28,27.3
2018-05-29,28.4
2018-05-30,30.1
2018-05-31,30.4
2018-06-01,29.1
2018-06-02,25.7
2018-06-03,25.0
2018-06-04,27.8
2018-06-05,24.0
2018-06-06,17.1
2018-06-07,22.4
2018-06-08,27.0
2018-06-09,28.9
2018-06-10,30.0
2018-06-11,24.5
2018-06-12,23.9
2018-06-13,21.2
2018-06-14,22.5
2018-06-15,24.6
2018-06-16,25.1
2018-06-17,28.1
2018-06-18,24.9
2018-06-19,26.9
2018-06-20,27.4
2018-06-21,30.2
2018-06-22,18.4
2018-06-23,18.8
2018-06-24,16.6
2018-06-25,16.0
2018-06-26,17.0
2018-06-27,23.3
2018-06-28,25.4
2018-06-29,27.0
2018-06-30,17.9
2018-07-01,16.9
2018-07-02,14.1
2018-07-03,21.8
2018-07-04,25.8
2018-07-05,29.7
2018-07-06,26.5
2018-07-07,26.7
2018-07-08,25.6
2018-07-09,25.9
2018-07-10,27.1
2018-07-11,25.5
2018-07-12,23.0
2018-07-13,22.6
2018-07-14,21.5
2018-07-15,23.0
2018-07-16,22.3
2018-07-17,22.4
2018-07-18,26.3
2018-07-19,26.7
2018-07-20,25.9
2018-07-21,25.3
2018-07-22,27.2
2018-07-23,27.0
2018-07-24,27.4
2018-07-25,27.0
2018-07-26,26.8
2018-07-27,27.5
2018-07-28,27.4
2018-07-29,28.3
2018-07-30,30.0
2018-07-31,30.6
2018-08-01,30.0
2018-08-02,31.5
2018-08-03,31.1
2018-08-04,30.3
2018-08-05,27.6
2018-08-06,23.9
2018-08-07,28.0
2018-08-08,30.8
2018-08-09,32.0
2018-08-10,32.0
2018-08-11,21.0
2018-08-12,22.4
2018-08-13,28.8
2018-08-14,27.5
2018-08-15,24.0
2018-08-16,24.7
2018-08-17,26.2
2018-08-18,27.3
2018-08-19,27.8
2018-08-20,30.8
2018-08-21,23.0
2018-08-22,23.2
2018-08-23,28.4
2018-08-24,29.5
2018-08-25,19.1
2018-08-26,15.8
2018-08-27,19.9
2018-08-28,21.3
2018-08-29,21.9
2018-08-30,24.9
2018-08-31,21.5
2018-09-01,23.7
2018-09-02,26.0
2018-09-03,24.8
2018-09-04,24.6
2018-09-05,23.1
2018-09-06,24.1
2018-09-07,25.3
2018-09-08,22.5
2018-09-09,20.5
2018-09-10,23.2
2018-09-11,23.8
2018-09-12,27.7
2018-09-13,21.4
2018-09-14,18.0
2018-09-15,19.0
2018-09-16,18.8
2018-09-17,22.9
2018-09-18,25.5
2018-09-19,27.2
2018-09-20,28.0
2018-09-21,26.8
2018-09-22,19.7
2018-09-23,14.5
2018-09-24,12.5
2018-09-25,11.7
2018-09-26,13.2
2018-09-27,18.0
2018-09-28,18.8
2018-09-29,13.1
2018-09-30,14.5
2018-10-01,16.2
2018-10-02,12.4
2018-10-03,11.6
2018-10-04,12.6
2018-10-05,17.0
2018-10-06,19.8
2018-10-07,20.8
2018-10-08,12.6
2018-10-09,15.4
2018-10-10,18.8
2018-10-11,20.0
2018-10-12,20.6
2018-10-13,20.5
2018-10-14,19.9
2018-10-15,19.4
2018-10-16,19.2
2018-10-17,19.9
2018-10-18,19.6
2018-10-19,15.4
2018-10-20,10.6
2018-10-21,12.2
2018-10-22,11.6
2018-10-23,8.3
2018-10-24,8.1
2018-10-25,10.6
2018-10-26,10.1
2018-10-27,11.6
2018-10-28,7.1
2018-10-29,12.5
2018-10-30,20.2
2018-10-31,16.1
2018-11-01,15.8
2018-11-02,18.5
2018-11-03,10.2
2018-11-04,12.7
2018-11-05,13.4
2018-11-06,15.4
2018-11-07,13.6
2018-11-08,15.0
2018-11-09,10.9
2018-11-10,11.8
2018-11-11,10.1
2018-11-12,13.1
2018-11-13,13.4
2018-11-14,9.2
2018-11-15,9.2
2018-11-16,5.2
2018-11-17,3.5
2018-11-18,1.1
2018-11-19,2.4
2018-11-20,1.7
2018-11-21,1.2
2018-11-22,1.1
2018-11-23,0.3
2018-11-24,1.1
2018-11-25,2.8
2018-11-26,1.5
2018-11-27,1.8
2018-11-28,-0.1
2018-11-29,-1.2
2018-11-30,-2.2
2018-12-01,-2.6
2018-12-02,3.7
2018-12-03,5.9
2018-12-04,7.2
2018-12-05,3.2
2018-12-06,2.2
2018-12-07,6.1
2018-12-08,7.8
2018-12-09,6.2
2018-12-10,5.0
2018-12-11,3.3
2018-12-12,2.0
2018-12-13,0.8
2018-12-14,0.3
2018-12-15,1.2
2018-12-16,-0.6
2018-12-17,-0.1
2018-12-18,-0.3
2018-12-19,-1.3
2018-12-20,-0.8
2018-12-21,3.1
2018-12-22,6.4
2018-12-23,4.4
2018-12-24,2.2
2018-12-25,3.6
2018-12-26,4.9
2018-12-27,6.7
2018-12-28,6.2
2018-12-29,4.8
2018-12-30,5.1
2018-12-31,4.4
2019-01-01,6.2
2019-01-02,2.5
2019-01-03,-0.6
2019-01-04,0.1
2019-01-05,2.1
2019-01-06,-2.1
2019-01-07,-3.0
2019-01-08,1.1
2019-01-09,-0.9
2019-01-10,-6.2
2019-01-11,0.1
2019-01-12,1.6
2019-01-13,3.3
2019-01-14,3.5
2019-01-15,3.3
2019-01-16,5.1
2019-01-17,5.2
2019-01-18,3.4
2019-01-19,0.3
2019-01-20,0.2
2019-01-21,-1.1
2019-01-22,-1.0
2019-01-23,-2.1
2019-01-24,-2.7
2019-01-25,-4.8
2019-01-26,-2.0
2019-01-27,-0.4
2019-01-28,2.5
2019-01-29,2.3
2019-01-30,1.2
2019-01-31,0.6
2019-02-01,2.0
2019-02-02,8.9
2019-02-03,4.6
2019-02-04,1.5
2019-02-05,1.9
2019-02-06,3.7
2019-02-07,6.4
2019-02-08,6.8
2019-02-09,6.3
2019-02-10,8.9
2019-02-11,7.3
2019-02-12,2.8
2019-02-13,5.3
2019-02-14,7.1
2019-02-15,7.7
2019-02-16,8.6
2019-02-17,9.4
2019-02-18,11.1
2019-02-19,12.6
2019-02-20,6.9
2019-02-21,5.8
2019-02-22,-0.6
2019-02-23,-0.9
2019-02-24,4.1
2019-02-25,6.9
2019-02-26,9.2
2019-02-27,10.4
2019-02-28,10.8
2019-03-01,5.1
2019-03-02,0.9
2019-03-03,8.1
2019-03-04,14.6
2019-03-05,8.9
2019-03-06,7.4
2019-03-07,13.6
2019-03-08,12.7
2019-03-09,10.8
2019-03-10,8.6
2019-03-11,6.6
2019-03-12,4.5
2019-03-13,7.2
2019-03-14,7.9
2019-03-15,8.4
2019-03-16,7.9
2019-03-17,15.7
2019-03-18,9.4
2019-03-19,7.5
2019-03-20,8.1
2019-03-21,11.9
2019-03-22,13.6
2019-03-23,14.4
2019-03-24,10.7
2019-03-25,8.5
2019-03-26,6.2
2019-03-27,9.1
2019-03-28,11.2
2019-03-29,12.2
2019-03-30,14.1
2019-03-31,15.1
2019-04-01,8.3
2019-04-02,11.0
2019-04-03,14.1
2019-04-04,17.0
2019-04-05,18.6
2019-04-06,16.9
2019-04-07,15.2
2019-04-08,17.8
2019-04-09,9.1
2019-04-10,8.9
2019-04-11,7.6
2019-04-12,6.9
2019-04-13,6.8
2019-04-14,11.9
2019-04-15,11.8
2019-04-16,11.4
2019-04-17,18.2
2019-04-18,20.0
2019-04-19,20.1
2019-04-20,19.0
2019-04-21,17.3
2019-04-22,16.6
2019-04-23,19.0
2019-04-24,19.6
2019-04-25,24.1
2019-04-26,27.5
2019-04-27,19.9
2019-04-28,13.8
2019-04-29,21.4
2019-04-30,18.9
2019-05-01,18.4
2019-05-02,16.8
2019-05-03,13.2
2019-05-04,14.3
2019-05-05,12.6
2019-05-06,14.7
2019-05-07,13.4
2019-05-08,14.8
2019-05-09,17.0
2019-05-10,16.1
2019-05-11,18.1
2019-05-12,22.1
2019-05-13,11.9
2019-05-14,8.5
2019-05-15,12.9
2019-05-16,18.4
2019-05-17,20.6
2019-05-18,21.0
2019-05-19,21.9
2019-05-20,23.7
2019-05-21,21.2
2019-05-22,19.6
2019-05-23,20.4
2019-05-24,19.8
2019-05-25,21.4
2019-05-26,19.4
2019-05-27,22.8
2019-05-28,23.1
2019-05-29,15.7
2019-05-30,18.4
2019-05-31,22.4
2019-06-01,23.1
2019-06-02,24.6
2019-06-03,26.2
2019-06-04,27.8
2019-06-05,28.0
2019-06-06,26.8
2019-06-07,27.8
2019-06-08,28.0
2019-06-09,25.2
2019-06-10,29.5
